2,191,"Jer2–5"
2,192,"Jer6–8"
2,193,"Jer9–12"
2,194,"Jer13–16"
2,195,"Jer17–19"
2,196,"Jer20–23"
2,197,"Jer24–27"
2,198,"Jer28–30"
2,199,"Jer31–34"
2,200,"Jer35–38"
2,201,"Jer39–41"
2,202,"Jer42–45"
2,203,"Jer46–48"
2,204,"Jer49–52"
2,205,"Ez1–4"
2,206,"Ez5–7"
2,207,"Ez8–11"
2,208,"Ez12–15"
2,209,"Ez16–18"
2,210,"Ez19–22"
2,211,"Ez23–26"
2,212,"Ez27–29"
2,213,"Ez30–33"
2,214,"Ez34–36"
2,215,"Ez37–40"
2,216,"Ez41–44"
2,217,"Ez45–47"
2,218,"Ez48;Siral1–3"
2,219,"Siral4–5;Bár1–2"
2,220,"Bár3–5"
2,221,"Bár6;Iz40–42"
2,222,"Iz43–46"
2,223,"Iz47–49"
2,224,"Iz50–53"
2,225,"Iz54–55;Ag1"
2,226,"Ag2;Zak1–3"
2,227,"Zak4–7"
2,228,"Zak8;Iz56–57"
2,229,"Iz58–61"
2,230,"Iz62–65"
2,231,"Iz66;Mal1–2"
2,232,"Mal3;Abd1;1Krón1–2"
2,233,"1Krón3–6"
2,234,"1Krón7–9"
2,235,"1Krón10–13"
2,236,"1Krón14–17"
2,237,"1Krón18–20"
2,238,"1Krón21–24"
2,239,"1Krón25–27"
2,240,"1Krón28–29;2Krón1–2"
2,241,"2Krón3–6"
2,242,"2Krón7–9"
2,243,"2Krón10–13"
2,244,"2Krón14–17"
2,245,"2Krón18–20"
2,246,"2Krón21–24"
2,247,"2Krón25–28"
2,248,"2Krón29–31"
2,249,"2Krón32–35"
2,250,"2Krón36;Ezd1–2"
2,251,"Ezd3–6"
2,252,"Ezd7–10"
2,253,"Neh1–3"
2,254,"Neh4–7"
2,255,"Neh8–11"
2,256,"Neh12–13;Zsolt90"
2,257,"Zsolt91–94"
2,258,"Zsolt95–98"
2,259,"Zsolt99–101"
2,260,"Zsolt102–105"
2,261,"Zsolt106;Jo1–2"
2,262,"Jo3–4;Zak9–10"
2,263,"Zak11–14"
2,264,"Dán1–3"
2,265,"Dán4–7"
2,266,"Dán8–11"
2,267,"Dán12–14"
2,268,"Esz1–4"
2,269,"Esz5–8"
2,270,"Esz9–10;Jud1"
2,271,"Jud2–5"
2,272,"Jud6–8"
2,273,"Jud9–12"
2,274,"Jud13–16"
2,275,"Jón1–3"
2,276,"Jón4;Tób1–3"
2,277,"Tób4–7"
2,278,"Tób8–10"
2,279,"Tób11–14"
2,280,"1Mak1–4"
2,281,"1Mak5–7"
2,282,"1Mak8–11"
